City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
162,Cidreira,BR,2022-04-15 23:04:43,-30.1811,-50.2056,64.27,65,50,6.62
163,Paamiut,GL,2022-04-15 23:04:43,61.994,-49.6678,24.17,78,42,14.2
164,Zyryanka,RU,2022-04-15 23:02:58,65.75,150.85,12.92,81,98,2.04
165,Caravelas,BR,2022-04-15 23:04:44,-17.7125,-39.2481,74.88,84,100,15.46
166,Atambua,ID,2022-04-15 23:04:44,-9.1061,124.8925,75.87,83,100,2.06
167,Bambous Virieux,MU,2022-04-15 23:04:44,-20.3428,57.7575,76.21,82,51,19.48
168,Iberia,US,2022-04-15 23:01:30,29.9502,-91.7507,79.05,73,100,17.27
169,Chapais,CA,2022-04-15 23:04:45,49.7834,-74.8492,33.58,83,100,3.04
170,Aktash,RU,2022-04-15 23:04:45,50.3,87.7333,17.71,62,5,3.4
171,Manyana,BW,2022-04-15 23:00:46,-23.4,21.7167,65.3,45,6,11.01
172,Bengkulu,ID,2022-04-15 23:04:46,-3.8004,102.2655,76.08,89,100,4.27
173,Castro,BR,2022-04-15 23:01:14,-24.7911,-50.0119,52.09,61,0,2.37
174,Topchikha,RU,2022-04-15 23:04:46,52.8192,83.1185,44.49,52,0,4.34
175,Manokwari,ID,2022-04-15 23:04:46,-0.8667,134.0833,81.48,70,99,0.72
176,Port Macquarie,AU,2022-04-15 23:04:47,-31.4333,152.9167,68.9,69,73,5.46
177,Belmonte,BR,2022-04-15 23:03:40,-15.8631,-38.8828,77.79,90,75,11.48
178,Ajka,HU,2022-04-15 23:04:47,47.102,17.5589,51.53,76,29,15.64
179,Saint George,US,2022-04-15 23:01:19,37.1041,-113.5841,78.64,14,0,11.5
180,Tiquicheo,MX,2022-04-15 23:04:47,18.8833,-100.7333,102.56,13,99,5.35
181,Georgetown,MY,2022-04-15 23:03:07,5.4112,100.3354,78.73,89,20,2.3
182,Komsomolskiy,UZ,2022-04-15 23:05:48,40.4272,71.7189,66.78,27,1,1.79
183,Rusne,LT,2022-04-15 23:05:48,55.2964,21.3758,36.01,81,57,12.86
184,Praia,CV,2022-04-15 23:03:09,14.9215,-23.5087,70.34,68,75,11.5
185,Airai,TL,2022-04-15 23:02:46,-8.9266,125.4092,64.08,85,100,1.28
186,Progreso,MX,2022-04-15 23:05:49,21.2833,-89.6667,91.51,75,39,19.24
187,Rocha,UY,2022-04-15 23:05:49,-34.4833,-54.3333,59.76,86,80,3.96
188,Strezhevoy,RU,2022-04-15 23:05:50,60.7333,77.5889,39.42,88,100,9.53
189,Palmer,US,2022-04-15 23:05:50,42.1584,-72.3287,63.77,21,20,12.66
190,Huangzhai,CN,2022-04-15 23:05:50,38.0751,112.6595,36.01,34,100,2.21
191,Porto Empedocle,IT,2022-04-15 23:05:51,37.2934,13.5264,53.31,61,100,17.65
192,Lazaro Cardenas,MX,2022-04-15 23:04:38,17.9583,-102.2,82.63,53,89,10.65
193,Thiruvananthapuram,IN,2022-04-15 23:05:51,8.4833,76.9167,82.38,78,40,2.3
194,Abnub,EG,2022-04-15 23:05:51,27.2696,31.1511,71.67,21,0,5.12
195,Broken Hill,AU,2022-04-15 23:05:52,-31.95,141.4333,70.84,33,0,7.47
196,Hainichen,DE,2022-04-15 23:05:52,50.9667,13.1167,43.29,90,92,9.1
197,Torbay,CA,2022-04-15 23:01:49,47.6666,-52.7314,35.53,77,26,10.78
198,Merauke,ID,2022-04-15 23:05:52,-8.4667,140.3333,79.81,87,100,12.73
199,Padang,ID,2022-04-15 23:05:53,-0.9492,100.3543,78.33,82,100,2.13
200,Roma,US,2022-04-15 23:05:53,43.2128,-75.4557,58.73,50,20,3.44
201,Ucluelet,CA,2022-04-15 23:05:53,48.9329,-125.5528,50.09,75,44,4.0
202,Tuatapere,NZ,2022-04-15 23:05:54,-46.1333,167.6833,54.57,57,43,17.94
203,Hailar,CN,2022-04-15 23:05:54,49.2,119.7,36.66,42,45,13.62
204,Coquimbo,CL,2022-04-15 23:04:55,-29.9533,-71.3436,56.93,76,20,8.05
205,Klaksvik,FO,2022-04-15 23:05:54,62.2266,-6.589,47.32,98,100,13.69
206,Boa Vista,BR,2022-04-15 23:05:55,2.8197,-60.6733,78.78,83,75,2.3
207,Chuy,UY,2022-04-15 23:05:55,-33.6971,-53.4616,62.65,72,68,7.45
208,Marawi,PH,2022-04-15 23:03:27,7.9986,124.2928,71.4,86,46,0.98
209,Victoria,HK,2022-04-15 23:05:03,22.2855,114.1577,72.32,78,98,20.0
210,Adrar,MR,2022-04-15 23:05:55,20.5022,-10.0711,81.86,12,13,6.71
211,Sakakah,SA,2022-04-15 23:05:56,29.9697,40.2064,66.87,20,21,8.59
212,Talnakh,RU,2022-04-15 23:05:56,69.4865,88.3972,23.52,93,93,9.31
213,Tilichiki,RU,2022-04-15 23:01:03,60.4667,166.1,24.6,83,85,6.06
214,Guarapari,BR,2022-04-15 23:05:45,-20.6667,-40.4975,72.9,63,93,16.4
215,Camacha,PT,2022-04-15 23:05:57,33.0833,-16.3333,58.42,88,40,11.5
216,Mpwapwa,TZ,2022-04-15 23:05:57,-6.35,36.4833,65.32,99,93,2.86
217,Marzuq,YE,2022-04-15 23:01:57,14.4,46.4667,69.04,32,2,6.26
218,Batagay-Alyta,RU,2022-04-15 23:05:57,67.8006,130.4114,6.69,88,21,3.27
219,Omsukchan,RU,2022-04-15 23:05:58,62.5333,155.8,13.98,90,99,5.7
220,Iqaluit,CA,2022-04-15 23:05:58,63.7506,-68.5145,1.72,86,2,7.31
221,Sao Joao Da Barra,BR,2022-04-15 23:05:58,-21.6403,-41.0511,72.59,63,94,19.57
222,Takoradi,GH,2022-04-15 23:05:59,4.8845,-1.7554,80.26,83,53,8.66
223,Ampanihy,MG,2022-04-15 23:05:59,-24.7,44.75,74.89,76,54,2.77
224,Twentynine Palms,US,2022-04-15 23:02:30,34.1356,-116.0542,82.06,14,63,6.11
225,Salinopolis,BR,2022-04-15 23:05:59,-0.6136,-47.3561,78.69,85,100,8.99
226,Sao Gabriel Da Cachoeira,BR,2022-04-15 23:07:00,-0.1303,-67.0892,73.31,98,98,1.59
227,Ilulissat,GL,2022-04-15 23:07:00,69.2167,-51.1,-5.1,92,24,5.93
228,Qaanaaq,GL,2022-04-15 23:07:00,77.484,-69.3632,-3.89,93,100,6.42
229,Leningradskiy,RU,2022-04-15 23:07:01,69.3833,178.4167,12.67,88,100,10.07
230,Liverpool,GB,2022-04-15 23:05:55,53.4106,-2.9779,53.62,88,0,4.61
231,Portland,US,2022-04-15 23:05:18,45.5234,-122.6762,56.84,46,40,4.61
232,Tursunzoda,TJ,2022-04-15 23:07:01,38.5144,68.2333,65.1,36,2,6.87
233,Bom Jesus Da Lapa,BR,2022-04-15 23:07:02,-13.255,-43.4181,75.9,81,100,6.29
234,Asosa,ET,2022-04-15 23:07:02,10.0667,34.5333,64.26,72,100,3.44
235,Balikpapan,ID,2022-04-15 23:07:02,-1.2675,116.8289,77.99,94,40,2.3
236,Saint-Georges,GD,2022-04-15 23:07:02,12.0564,-61.7485,78.91,75,80,16.44
237,Linxia,CN,2022-04-15 23:07:03,35.6003,103.2064,38.79,78,100,2.77
238,Superior,US,2022-04-15 23:03:21,46.7208,-92.1041,30.29,54,100,18.41
239,Narsaq,GL,2022-04-15 23:07:03,60.9167,-46.05,30.42,76,64,3.24
240,Byron Bay,AU,2022-04-15 23:07:04,-28.65,153.6167,66.94,73,83,8.59
241,Yenagoa,NG,2022-04-15 23:07:04,4.9247,6.2642,79.02,87,97,3.24
242,Wicklow,IE,2022-04-15 23:07:04,53.0,-6.4167,49.08,95,41,3.6
243,Sheridan,US,2022-04-15 23:07:04,44.8333,-106.9173,25.92,60,100,1.99
244,Farmington,US,2022-04-15 23:07:05,36.7281,-108.2187,71.78,14,0,9.22
245,Tasiilaq,GL,2022-04-15 23:03:14,65.6145,-37.6368,33.96,99,100,8.97
246,Vanimo,PG,2022-04-15 23:07:05,-2.6741,141.3028,81.79,78,54,4.79
247,Nigde,TR,2022-04-15 23:07:06,37.8333,34.75,40.12,68,5,2.8
248,Ribeira Grande,PT,2022-04-15 23:07:06,38.5167,-28.7,60.19,69,100,10.78
249,Oxford,GB,2022-04-15 23:06:10,51.7522,-1.256,54.23,83,6,5.75
250,Puerto Escondido,MX,2022-04-15 23:07:06,15.85,-97.0667,86.83,70,40,9.22
251,Ponta Do Sol,PT,2022-04-15 23:02:38,32.6667,-17.1,66.0,66,100,2.95
252,Saldanha,ZA,2022-04-15 23:07:07,-33.0117,17.9442,56.3,61,10,17.56
253,Penalva,BR,2022-04-15 23:07:07,-3.2942,-45.1736,75.0,98,70,3.49
254,Mar Del Plata,AR,2022-04-15 23:07:07,-38.0023,-57.5575,61.88,86,0,21.99
255,Yarim,YE,2022-04-15 23:07:08,14.298,44.3779,56.48,46,4,1.41
256,Ketchikan,US,2022-04-15 23:07:08,55.3422,-131.6461,50.47,29,0,10.36
257,Gacko,BA,2022-04-15 23:07:08,43.1672,18.5353,49.17,91,27,6.08
258,Teguldet,RU,2022-04-15 23:07:09,57.3064,88.1667,31.14,99,94,2.86
259,Borovoy,RU,2022-04-15 23:07:09,55.4333,86.0833,42.08,42,0,4.47
260,Voh,NC,2022-04-15 23:07:09,-20.9667,164.7,78.8,72,11,5.1
261,Camopi,GF,2022-04-15 23:07:10,3.1655,-52.3158,73.72,92,100,3.65
262,Choix,MX,2022-04-15 23:07:10,26.7092,-108.3219,94.53,9,99,10.42
263,Longyearbyen,SJ,2022-04-15 23:07:10,78.2186,15.6401,28.24,93,75,11.5
264,Nouadhibou,MR,2022-04-15 23:07:11,20.931,-17.0347,63.55,91,0,17.67
