City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
187,Ribas Do Rio Pardo,BR,70.23,clear sky,-20.4431,-53.7592,Pousada Avenida
188,Stephenville,US,92.19,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
189,Severo-Kurilsk,RU,31.6,broken clouds,50.6789,156.125,Kak Doma
191,Faya,SA,66.31,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
192,West Odessa,US,95.41,broken clouds,31.8424,-102.4988,Corporate Mobile Housing
193,Sinjar,IQ,58.24,overcast clouds,36.3209,41.8754,زوماني فون 1
194,Kajaani,FI,33.85,clear sky,64.2273,27.7285,Original Sokos Hotel Valjus
195,Bethel,US,67.05,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
196,Phuket,TH,88.12,few clouds,8.0,98.25,The Surin
197,Marmora,IT,52.47,clear sky,44.4583,7.094,Locanda Occitana Lou Pitavin
198,Vardo,NO,35.74,light rain,70.3705,31.1107,Vardø Hotel AS
199,Hashtrud,IR,43.34,overcast clouds,37.4779,47.0508,Mahan Hotel
200,Ponta Do Sol,PT,67.01,overcast clouds,32.6667,-17.1,Hotel do Campo
201,Taltal,CL,62.01,few clouds,-25.4,-70.4833,Residencial Karime
202,Sao Miguel,BR,83.17,scattered clouds,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
203,Fukue,JP,55.42,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
205,Port Hardy,CA,46.58,scattered clouds,50.6996,-127.4199,Airport Inn-Port Hardy
206,Rawson,AR,72.28,clear sky,-43.3002,-65.1023,Hosteria Sampedro
209,Tasiilaq,GL,34.88,snow,65.6145,-37.6368,The Red House
211,Ancud,CL,59.23,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
212,Vestmannaeyjar,IS,47.44,overcast clouds,63.4427,-20.2734,Glamping & Camping
213,Qeshm,IR,80.49,overcast clouds,26.9581,56.2719,Qeshm Kavan Hotel
214,Saldanha,ZA,57.25,clear sky,-33.0117,17.9442,Blue Bay Lodge
215,Touros,BR,80.1,few clouds,-5.1989,-35.4608,INN NEW HORIZON
217,Norman Wells,CA,12.24,broken clouds,65.282,-126.8329,Heritage Hotel
219,Broken Hill,AU,58.71,clear sky,-31.95,141.4333,Royal Exchange Hotel
220,Flinders,AU,63.37,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
221,Bonavista,CA,32.68,scattered clouds,48.6499,-53.1147,Sweet Sharons bnb
223,Inta,RU,19.81,overcast clouds,66.0317,60.1659,Apartments in Inta city
225,Pevek,RU,14.02,scattered clouds,69.7008,170.3133,Severnoye Zoloto
226,Hauterive,FR,56.75,clear sky,46.0901,3.4459,Aletti Palace Hotel
229,Kargasok,RU,39.0,overcast clouds,59.0556,80.8572,Hotel Kargasok
230,Huntley,US,49.41,overcast clouds,42.1681,-88.4281,Suites On Main
231,Itarema,BR,78.75,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
232,Zharkent,KZ,57.06,clear sky,44.1628,80.0,гостиница Satti
233,Dalbandin,PK,79.57,clear sky,28.8947,64.4101,Sanjrani House
235,Chimoio,MZ,71.46,broken clouds,-19.1164,33.4833,Predio Livraria Ahmed
236,Zabaykalsk,RU,33.24,overcast clouds,49.6333,117.3167,Zheleznyy Mir
237,Purwakarta,ID,77.36,overcast clouds,-6.5569,107.4433,Sindang kasih tempat kost
238,Vao,NC,75.4,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
239,Fairbanks,US,37.09,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
240,Lata,PT,53.82,overcast clouds,40.1629,-8.3327,Casa Maquia
241,Andra,RU,31.51,overcast clouds,62.5147,65.8878,"Gostinitsa ""Ob'"""
242,Rio Branco Do Sul,BR,57.81,clear sky,-25.19,-49.3142,DR Hotel Rio Branco do Sul
243,San Juan,AR,73.76,few clouds,-31.5375,-68.5364,Hotel Provincial
244,San Carlos De Bariloche,AR,56.93,broken clouds,-41.1456,-71.3082,Hotel Patagonia
245,Pochutla,MX,89.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
246,Sungaipenuh,ID,65.08,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
247,Carnarvon,AU,78.91,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
248,Fortuna,US,52.86,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
249,Nouakchott,MR,66.13,clear sky,18.0858,-15.9785,HOTEL IMAN
250,Baillif,GP,80.1,clear sky,16.0202,-61.7463,Hôtel Saint-Georges
251,Chuy,UY,62.53,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
252,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
253,Oranjestad,AW,78.53,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
254,Krasnoselkup,RU,29.43,light snow,65.7,82.4667,Krasnosel'kupnefteprodukt
255,Saint-Pierre,RE,75.9,clear sky,-21.3393,55.4781,Lindsey Hôtel
256,Sfantu Gheorghe,RO,56.26,overcast clouds,45.8667,25.7833,Hotel Park
257,Alofi,NU,81.09,broken clouds,-19.0595,-169.9187,Taloa Heights
258,Esso,RU,19.63,overcast clouds,55.9333,158.7,Paramushir Tur
259,Champerico,GT,86.36,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
260,Port Hedland,AU,75.25,few clouds,-20.3167,118.5667,The Esplanade Hotel
261,Boyolangu,ID,74.53,broken clouds,-8.1181,111.8935,Yos ega cv
263,Balkhash,KZ,47.91,clear sky,46.844,74.9804,Family
264,Marsa Matruh,EG,61.03,broken clouds,31.3525,27.2453,Beau Site
265,Nyurba,RU,14.77,overcast clouds,63.2842,118.3319,"Гостиница ""Comfort"""
266,Bathsheba,BB,78.15,overcast clouds,13.2167,-59.5167,Atlantis Hotel
267,Susurluk,TR,53.83,clear sky,39.9136,28.1578,Çağan Pansiyon
268,Talavera,PH,75.94,broken clouds,15.6167,120.9333,R&G's Resort
269,Katsuura,JP,50.02,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
270,Lodhran,PK,80.82,clear sky,29.5405,71.6336,Gulshan e khalil
271,Marigot,MF,79.75,clear sky,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
272,Coquimbo,CL,62.33,few clouds,-29.9533,-71.3436,Hotel San Juan
273,Eagle Pass,US,90.27,overcast clouds,28.7091,-100.4995,"Holiday Inn Express & Suites Eagle Pass, an IHG Hotel"
274,Klaksvik,FO,50.92,overcast clouds,62.2266,-6.589,Airbnb rooms
276,Kungalv,SE,39.11,few clouds,57.871,11.9805,Hotell Fars Hatt
277,Pisco,PE,69.03,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
278,Valparaiso,CL,59.47,clear sky,-33.0393,-71.6273,Hotel Ultramar
280,Ballina,AU,66.02,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
281,Hun,LY,76.82,clear sky,29.1268,15.9477,Alrwasi Hotel
282,Ulcinj,ME,57.42,broken clouds,41.9294,19.2244,Hotel Palata Venezia
283,Brownwood,US,96.12,clear sky,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
284,Tomatlan,MX,86.45,overcast clouds,19.9333,-105.25,El Salvial
285,College,US,36.07,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
286,Murray Bridge,AU,62.13,clear sky,-35.1167,139.2667,Balcony On Sixth Lodge
287,Wicklow,IE,50.09,scattered clouds,53.0,-6.4167,Glenmalure Hostel
288,Korla,CN,46.71,clear sky,41.7597,86.1469,Gulisitan Hotel
289,Sayyan,YE,59.81,clear sky,15.1718,44.3244,ملاطف ابوحورية
290,Chandler,US,90.61,clear sky,33.3062,-111.8412,"Crowne Plaza Hotels & Resorts Phoenix - Chandler Golf Resort, an IHG Hotel"
291,Wellington,NZ,64.06,scattered clouds,-41.2866,174.7756,CityLife Wellington
292,Adilcevaz,TR,39.36,broken clouds,38.8039,42.7342,Adilcevaz Ogretmen Evi
293,Fort Nelson,CA,34.7,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
294,Petrykivka,UA,50.99,broken clouds,48.7298,34.6351,Молодежное Общежитие при ПТУ #79
295,Patacamaya,BO,56.8,clear sky,-17.2333,-67.9167,RESIDENCIAL ISLA VIGU
296,Xining,CN,37.99,overcast clouds,36.6167,101.7667,Super Leisure Hotel
297,Miyang,CN,60.91,few clouds,24.4042,103.4428,Huibinlou Hotel
298,Kitob,UZ,67.06,clear sky,39.0843,66.8332,KESH HOTEL
299,Kwinana,AU,60.82,few clouds,-32.25,115.7667,Rockingham Apartments
300,Lagoa,PT,58.75,overcast clouds,39.05,-27.9833,Casa Das Faias
301,Namatanai,PG,81.99,light rain,-3.6667,152.4333,Seagulls Inn Namatani
302,Hasaki,JP,46.8,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
304,Eyl,SO,82.63,overcast clouds,7.9803,49.8164,Amiin Hotel
306,Muli,MV,83.53,few clouds,2.9167,73.5667,Medhufushi Island Resort
307,Sao Jose Da Coroa Grande,BR,80.33,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
308,Zomba,MW,67.05,scattered clouds,-15.386,35.3188,Trout Farm Campsite
309,Sinnamary,GF,77.72,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
310,Churapcha,RU,15.98,scattered clouds,62.0025,132.4325,"""Tusku"""
311,Ondjiva,AO,72.86,overcast clouds,-17.0667,15.7333,COMBUESA
312,Zachary,US,79.74,overcast clouds,30.6485,-91.1565,"Holiday Inn Express & Suites Baton Rouge North, an IHG Hotel"
314,Ilulissat,GL,15.82,broken clouds,69.2167,-51.1,Hotel Arctic
315,Riyadh,SA,82.0,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
316,Brae,GB,45.46,broken clouds,60.3964,-1.353,Busta House Hotel
317,Salalah,OM,77.41,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
318,Mount Gambier,AU,60.71,mist,-37.8333,140.7667,The Commodore
319,Las Palmas,ES,63.39,clear sky,28.4204,-14.0131,Casillas De Morales 59.
320,Oistins,BB,78.24,overcast clouds,13.0667,-59.5333,Butterfly Beach Hotel
321,Porto Santo,PT,61.18,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
322,Deder,ET,59.25,light rain,9.3167,41.45,Entoto Hotel
323,Usinsk,RU,21.04,overcast clouds,65.9939,57.5281,Dobro Pozhalovaty
324,Campos Gerais,BR,62.58,clear sky,-21.235,-45.7586,Hotel Paraíso
325,Zafra,ES,59.13,scattered clouds,38.4167,-6.4167,Parador de Zafra
326,Mweka,CD,69.37,moderate rain,-4.85,21.5667,Guest House Boshab
327,Beira,MZ,77.52,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
329,Liverpool,GB,55.94,clear sky,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
330,Tautira,PF,81.03,few clouds,-17.7333,-149.15,Pension Oaoa
331,Tairua,NZ,66.36,overcast clouds,-37.0167,175.85,Pacific Harbour Villas
332,Harper,LR,80.6,overcast clouds,4.375,-7.7169,Screensaver
333,Regente Feijo,BR,72.68,clear sky,-22.2214,-51.3028,Hotel Ramos
334,Gravdal,NO,38.75,overcast clouds,68.1214,13.5031,Skreda Rorbusuiter
335,Tamiahua,MX,83.79,scattered clouds,21.2667,-97.45,Mission Of The Sun Hotel
336,Ambunti,PG,75.4,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
337,Issoire,FR,54.66,clear sky,45.55,3.25,ACE Hôtel Issoire
