City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
251,Chuy,UY,-33.6971,-53.4616,62.53,74,65,7.18,broken clouds
252,Hambantota,LK,6.1241,81.1185,77.34,100,18,2.3,few clouds
253,Oranjestad,AW,12.524,-70.027,78.53,86,51,24.76,broken clouds
254,Krasnoselkup,RU,65.7,82.4667,29.43,98,100,3.71,light snow
255,Saint-Pierre,RE,-21.3393,55.4781,75.9,78,0,6.91,clear sky
256,Sfantu Gheorghe,RO,45.8667,25.7833,56.26,70,100,1.79,overcast clouds
257,Alofi,NU,-19.0595,-169.9187,81.09,76,57,6.58,broken clouds
258,Esso,RU,55.9333,158.7,19.63,79,100,3.18,overcast clouds
259,Champerico,GT,14.3,-91.9167,86.36,63,34,11.81,scattered clouds
260,Port Hedland,AU,-20.3167,118.5667,75.25,83,11,4.61,few clouds
261,Boyolangu,ID,-8.1181,111.8935,74.53,90,68,0.63,broken clouds
262,Saint-Augustin,CA,51.226,-58.6502,32.32,94,100,4.29,overcast clouds
263,Balkhash,KZ,46.844,74.9804,47.91,36,0,12.97,clear sky
264,Marsa Matruh,EG,31.3525,27.2453,61.03,73,76,10.96,broken clouds
265,Nyurba,RU,63.2842,118.3319,14.77,95,100,5.21,overcast clouds
266,Bathsheba,BB,13.2167,-59.5167,78.15,78,98,17.45,overcast clouds
267,Susurluk,TR,39.9136,28.1578,53.83,74,1,2.17,clear sky
268,Talavera,PH,15.6167,120.9333,75.94,84,80,3.33,broken clouds
269,Katsuura,JP,35.1333,140.3,50.02,86,100,26.17,overcast clouds
270,Lodhran,PK,29.5405,71.6336,80.82,18,0,5.39,clear sky
271,Marigot,MF,18.0667,-63.0833,79.75,72,2,19.8,clear sky
272,Coquimbo,CL,-29.9533,-71.3436,62.33,63,20,12.66,few clouds
273,Eagle Pass,US,28.7091,-100.4995,90.27,49,85,12.08,overcast clouds
274,Klaksvik,FO,62.2266,-6.589,50.92,97,100,13.82,overcast clouds
275,Lokosovo,RU,61.1333,74.8167,42.94,83,100,10.74,overcast clouds
276,Kungalv,SE,57.871,11.9805,39.11,78,14,3.67,few clouds
277,Pisco,PE,-13.7,-76.2167,69.03,82,58,8.34,broken clouds
278,Valparaiso,CL,-33.0393,-71.6273,59.47,69,5,8.03,clear sky
279,Khovu-Aksy,RU,51.1333,93.6,28.98,48,53,3.47,broken clouds
280,Ballina,AU,-28.8667,153.5667,66.02,93,88,7.78,overcast clouds
281,Hun,LY,29.1268,15.9477,76.82,21,0,1.59,clear sky
282,Ulcinj,ME,41.9294,19.2244,57.42,75,59,3.6,broken clouds
283,Brownwood,US,31.7093,-98.9912,96.12,35,0,12.66,clear sky
284,Tomatlan,MX,19.9333,-105.25,86.45,41,100,8.14,overcast clouds
285,College,US,64.8569,-147.8028,36.07,34,56,3.0,broken clouds
286,Murray Bridge,AU,-35.1167,139.2667,62.13,84,0,3.67,clear sky
287,Wicklow,IE,53.0,-6.4167,50.09,95,32,4.12,scattered clouds
288,Korla,CN,41.7597,86.1469,46.71,14,0,3.38,clear sky
289,Sayyan,YE,15.1718,44.3244,59.81,23,2,0.96,clear sky
290,Chandler,US,33.3062,-111.8412,90.61,10,0,13.8,clear sky
291,Wellington,NZ,-41.2866,174.7756,64.06,72,40,24.16,scattered clouds
292,Adilcevaz,TR,38.8039,42.7342,39.36,59,69,3.76,broken clouds
293,Fort Nelson,CA,58.8053,-122.7002,34.7,69,83,4.52,broken clouds
294,Petrykivka,UA,48.7298,34.6351,50.99,73,81,10.27,broken clouds
295,Patacamaya,BO,-17.2333,-67.9167,56.8,26,0,7.29,clear sky
296,Xining,CN,36.6167,101.7667,37.99,81,98,2.13,overcast clouds
297,Miyang,CN,24.4042,103.4428,60.91,84,16,1.92,few clouds
298,Kitob,UZ,39.0843,66.8332,67.06,34,8,5.48,clear sky
299,Kwinana,AU,-32.25,115.7667,60.82,79,15,10.92,few clouds
300,Lagoa,PT,39.05,-27.9833,58.75,74,100,14.54,overcast clouds
301,Namatanai,PG,-3.6667,152.4333,81.99,77,37,5.26,light rain
302,Hasaki,JP,35.7333,140.8333,46.8,86,100,33.17,overcast clouds
303,Upernavik,GL,72.7868,-56.1549,-8.39,97,10,9.13,clear sky
304,Eyl,SO,7.9803,49.8164,82.63,72,100,10.09,overcast clouds
305,Longa,CD,2.8447,24.6776,70.56,97,100,0.74,overcast clouds
306,Muli,MV,2.9167,73.5667,83.53,73,13,7.14,few clouds
307,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.33,79,15,10.94,few clouds
308,Zomba,MW,-15.386,35.3188,67.05,90,45,3.11,scattered clouds
309,Sinnamary,GF,5.3833,-52.95,77.72,86,96,10.22,overcast clouds
310,Churapcha,RU,62.0025,132.4325,15.98,85,47,3.67,scattered clouds
311,Ondjiva,AO,-17.0667,15.7333,72.86,59,89,5.44,overcast clouds
312,Zachary,US,30.6485,-91.1565,79.74,86,100,10.36,overcast clouds
313,Sangar,RU,63.9242,127.4739,9.68,88,73,0.6,broken clouds
314,Ilulissat,GL,69.2167,-51.1,15.82,53,75,8.05,broken clouds
315,Riyadh,SA,24.6877,46.7219,82.0,27,95,3.8,overcast clouds
316,Brae,GB,60.3964,-1.353,45.46,89,69,19.75,broken clouds
317,Salalah,OM,17.0151,54.0924,77.41,63,0,1.05,clear sky
318,Mount Gambier,AU,-37.8333,140.7667,60.71,94,100,5.75,mist
319,Las Palmas,ES,28.4204,-14.0131,63.39,82,0,19.57,clear sky
320,Oistins,BB,13.0667,-59.5333,78.24,76,99,17.85,overcast clouds
321,Porto Santo,PT,33.072,-16.3415,61.18,88,40,11.5,scattered clouds
322,Deder,ET,9.3167,41.45,59.25,83,100,5.32,light rain
323,Usinsk,RU,65.9939,57.5281,21.04,88,100,12.95,overcast clouds
324,Campos Gerais,BR,-21.235,-45.7586,62.58,88,10,3.69,clear sky
325,Zafra,ES,38.4167,-6.4167,59.13,50,33,2.28,scattered clouds
326,Mweka,CD,-4.85,21.5667,69.37,100,100,1.36,moderate rain
327,Beira,MZ,-19.8436,34.8389,77.52,92,35,7.47,scattered clouds
328,Urubicha,BO,-15.3833,-62.95,74.86,65,61,1.32,broken clouds
329,Liverpool,GB,53.4106,-2.9779,55.94,84,0,2.3,clear sky
330,Tautira,PF,-17.7333,-149.15,81.03,73,13,15.99,few clouds
331,Tairua,NZ,-37.0167,175.85,66.36,76,100,7.07,overcast clouds
332,Harper,LR,4.375,-7.7169,80.6,85,100,8.3,overcast clouds
333,Regente Feijo,BR,-22.2214,-51.3028,72.68,56,0,5.75,clear sky
334,Gravdal,NO,68.1214,13.5031,38.75,75,100,16.89,overcast clouds
335,Tamiahua,MX,21.2667,-97.45,83.79,67,41,14.74,scattered clouds
336,Ambunti,PG,-4.2365,142.8448,75.4,96,99,0.13,overcast clouds
337,Issoire,FR,45.55,3.25,54.66,91,4,4.97,clear sky
338,Mitsamiouli,KM,-11.3847,43.2844,82.04,79,65,9.57,broken clouds
339,Iskateley,RU,67.6803,53.1512,9.0,98,96,5.39,overcast clouds
340,Akdepe,TM,42.0551,59.3788,59.5,50,100,15.79,light rain
341,Oktyabrskoye,RU,43.0645,44.7417,48.34,76,100,6.71,overcast clouds
342,Gobabis,NA,-22.45,18.9667,66.47,51,84,8.37,broken clouds
343,Kontagora,NG,10.3999,5.4695,82.83,59,89,5.75,light rain
344,Dhilwan,IN,31.5169,75.35,73.85,33,0,4.32,clear sky
345,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,72.75,60,0,4.99,clear sky
